0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2805.21,2547.57,3770.17,3066.79,3263.85,3061.29,2090.73,2320.55,3304.08,2962.85,3035.87,2803.22,2053.04,3896.48,1967.84,3264.53,2786.88,2576.3,2687.94,858.01,1632.3,0.0,2819.94,2732.13,2295.59,2365.55,2826.09,2824.41,3144.19,2374.68,1834.12,1214.7,1437.66,1918.62,1065.58,2427.63,1921.64,2011.22,2639.02,1754.57,1733.28,1834.12,1373.35,3247.27,3192.89,3192.89,1462.57,2327.68,1960.83,3627.73
5420.77,1616.31,1717.79,4287.08,4484.14,4682.05,1462.55,1439.71,6082.18,5096.39,5447.46,5418.78,5286.76,6424.59,3473.7,2604.01,899.14,3317.4,3429.04,2643.62,3138.16,2515.15,0.0,1815.02,3397.52,3404.61,1945.25,1943.57,5338.61,5691.79,3339.98,3178.4,3213.17,3694.13,2841.1,2240.41,2167.06,1635.54,3678.08,3260.43,3239.14,3339.98,2425.69,6025.36,6297.41,6297.41,2212.84,4792.4,1317.92,5518.9
4272.67,388.35,4730.34,2254.1,2451.16,2248.61,2130.7,2850.04,4771.54,4430.3,4503.32,4270.67,3520.5,5363.93,2149.28,5616.56,1437.29,1992.97,2104.62,2325.47,1813.74,2496.15,1506.53,0.0,2073.1,2080.19,3355.58,3353.9,4611.64,3842.13,2015.56,3159.4,3194.17,2938.48,2822.1,662.15,842.64,1179.13,2353.66,1936.01,1914.72,2015.56,2840.8,4714.72,4660.35,4660.35,2149.29,2759.43,2000.8,5095.18
3697.16,2090.47,4654.77,1727.02,1924.07,1988.99,2559.62,2789.44,4034.29,3854.79,3766.07,3695.16,3086.78,4510.24,520.0,5541.0,3239.08,1534.69,1563.49,2250.36,292.87,1655.67,4114.77,2073.1,0.0,69.96,3294.98,3293.3,3874.39,3104.88,633.21,2196.6,1920.37,1495.01,1548.3,1768.59,1262.6,2980.92,343.43,821.87,745.06,633.21,2765.7,3977.47,3923.09,3923.09,2088.7,806.01,2429.72,4357.93
3813.73,2120.88,4743.42,1658.48,1855.54,1920.45,2590.03,2819.85,4150.86,3971.36,3882.64,3811.73,3203.36,4626.81,550.41,5629.65,3269.49,1466.15,1494.95,2280.78,323.28,1686.08,4203.42,2103.51,217.88,0.0,3325.39,3323.71,3990.97,3221.45,663.62,2313.18,2036.95,1611.58,1664.87,1799.0,1293.01,3011.33,273.47,852.28,775.47,663.62,2796.11,4094.04,4039.67,4039.67,2119.11,737.47,2460.13,4474.5
3262.71,3092.16,1527.73,4111.78,4308.84,5690.15,1615.84,871.68,3924.11,2938.33,3289.4,3260.71,3103.95,4266.53,3012.83,2413.95,2337.29,3621.28,3732.92,2317.43,2677.29,2188.96,1560.48,3290.87,2936.64,2943.73,0.0,1.68,3180.55,3533.73,2879.1,2852.21,2886.98,3367.95,2514.91,3716.26,2966.62,2555.81,3217.2,2799.55,2778.26,2879.1,2099.51,3867.3,4139.34,4139.34,1886.65,3372.66,1485.94,3360.84
3261.03,3090.48,1526.05,4110.1,4307.16,5688.47,1614.16,870.0,3922.43,2936.65,3287.72,3259.03,3102.27,4264.85,3011.15,2412.27,2335.61,3619.6,3731.25,2315.75,2675.61,2187.28,1558.8,3289.19,2934.96,2942.05,1.68,0.0,3178.87,3532.05,2877.42,2850.53,2885.3,3366.27,2513.23,3714.58,2964.94,2554.13,3215.52,2797.87,2776.58,2877.42,2097.83,3865.62,4137.67,4137.67,1884.97,3370.98,1484.26,3359.16
633.36,4475.15,6046.6,8376.2,8573.25,8771.17,4157.87,3018.07,1140.55,893.23,407.18,631.36,1092.79,1575.11,4528.7,6932.83,7111.3,8451.86,8563.5,2673.01,4301.57,2826.5,6334.49,4673.86,4008.7,4078.66,4128.11,4126.43,0.0,1170.27,4641.9,2423.18,3287.36,3508.59,2967.89,4821.77,4315.79,3938.79,4352.13,4370.4,4349.11,4641.9,2284.59,1083.73,1355.78,1355.78,2373.81,4814.7,4027.97,669.41
1100.95,3749.49,5929.17,4609.18,4806.24,4603.68,3180.08,2678.92,1409.49,1258.58,1141.28,1098.95,695.57,2001.89,3365.1,6815.4,3988.8,4379.79,4408.59,1947.36,3137.97,2100.84,3790.56,3948.2,2845.1,2915.07,3788.96,3787.28,1249.6,0.0,3478.31,1842.6,2706.78,2345.0,2398.29,3970.01,3464.03,3213.14,3188.54,3206.81,3185.52,3478.31,1558.93,1352.68,1298.3,1298.3,1648.15,3651.11,3050.17,1733.14
4179.08,1547.59,4032.33,1025.1,1222.16,1550.6,2541.14,2770.96,4528.66,7394.01,4260.44,4177.08,3426.91,5004.61,444.4,4918.56,2696.2,809.58,921.22,2231.88,727.51,1637.18,3492.33,1530.22,906.26,913.35,3276.5,3274.82,7636.23,3599.25,0.0,2300.44,2414.75,1989.38,2042.67,1225.71,719.72,2438.04,839.43,199.43,576.52,0.0,2747.22,4471.84,4417.47,4417.47,2070.21,996.14,2411.23,7816.52
2012.27,2970.4,6050.19,3489.62,3686.68,3484.12,2435.56,2799.94,2652.94,2169.91,2139.01,2010.28,1401.9,3245.34,2390.67,3609.36,3209.71,2999.12,3110.77,1278.39,2055.13,1255.67,3164.77,3154.96,1878.6,1948.56,3170.93,3169.25,2493.05,1723.54,2256.94,0.0,964.93,1378.5,645.46,2850.45,2344.47,2434.05,2222.03,2177.39,2156.1,2256.94,1793.73,2596.13,2541.75,2541.75,1882.95,2684.61,2305.66,2976.59
